program	rlength	damage	collapsed	seqtype	avg_length	total_sequence
adapterremoval	long	heavy	FALSE	PE	141.9978153	5e+07
adapterremoval	long	heavy	FALSE	SE	0	0
adapterremoval	long	heavy	TRUE	PE	149.950705418095	17122328
adapterremoval	long	heavy	TRUE	SE	100.744912496939	32877672
adapterremoval	long	light	FALSE	PE	141.998653859865	49999995
adapterremoval	long	light	FALSE	SE	36.6	5
adapterremoval	long	light	TRUE	PE	149.950885429177	17123391
adapterremoval	long	light	TRUE	SE	100.753658006509	32876609
adapterremoval	long	none	FALSE	PE	141.994681119894	49999999
adapterremoval	long	none	FALSE	SE	37	1
adapterremoval	long	none	TRUE	PE	149.950756878355	17119792
adapterremoval	long	none	TRUE	SE	100.654618384585	32880208
adapterremoval	medium	heavy	FALSE	PE	102.599382535716	49999977
adapterremoval	medium	heavy	FALSE	SE	37.8260869565217	23
adapterremoval	medium	heavy	TRUE	PE	149.905143968601	115164
adapterremoval	medium	heavy	TRUE	SE	67.5713588519372	49884835
adapterremoval	medium	light	FALSE	PE	102.602085289209	49999971
adapterremoval	medium	light	FALSE	SE	37.6206896551724	29
adapterremoval	medium	light	TRUE	PE	149.859983724071	115508
adapterremoval	medium	light	TRUE	SE	67.5971988447497	49884492
adapterremoval	medium	none	FALSE	PE	102.605901292013	49999966
adapterremoval	medium	none	FALSE	SE	37.5294117647059	34
adapterremoval	medium	none	TRUE	PE	149.904463804406	115014
adapterremoval	medium	none	TRUE	SE	67.5826315191647	49884985
adapterremoval	short	heavy	FALSE	PE	46.8712905822018	49999659
adapterremoval	short	heavy	FALSE	SE	37.4633431085044	341
adapterremoval	short	heavy	TRUE	PE	149.895070300295	11522
adapterremoval	short	heavy	TRUE	SE	30.9283392337242	49988472
adapterremoval	short	light	FALSE	PE	46.8736079102775	49999561
adapterremoval	short	light	FALSE	SE	37.5193621867882	439
adapterremoval	short	light	TRUE	PE	149.880242072963	11732
adapterremoval	short	light	TRUE	SE	30.9354400935202	49988264
adapterremoval	short	none	FALSE	PE	46.8734146475611	49999450
adapterremoval	short	none	FALSE	SE	37.3345454545455	550
adapterremoval	short	none	TRUE	PE	149.874464805617	11678
adapterremoval	short	none	TRUE	SE	30.9279316988073	49988316
leeHOM	long	heavy	FALSE	PE	149.849783607486	40655057
leeHOM	long	heavy	FALSE	SE	107.860469774936	9344943
leeHOM	long	heavy	TRUE	PE	149.852989979108	17543049
leeHOM	long	heavy	TRUE	SE	187.252231240082	32456951
leeHOM	long	light	FALSE	PE	149.849936152009	40653589
leeHOM	long	light	FALSE	SE	107.870894613986	9346411
leeHOM	long	light	TRUE	PE	149.853490483712	17544130
leeHOM	long	light	TRUE	SE	187.240647377501	32455870
leeHOM	long	none	FALSE	PE	149.849697011383	40650702
leeHOM	long	none	FALSE	SE	107.863759396695	9349298
leeHOM	long	none	TRUE	PE	149.853274254191	17541216
leeHOM	long	none	TRUE	SE	187.231274467953	32458784
leeHOM	medium	heavy	FALSE	PE	149.680788257026	8333221
leeHOM	medium	heavy	FALSE	SE	93.2048812556401	41666779
leeHOM	medium	heavy	TRUE	PE	148.002815473405	128220
leeHOM	medium	heavy	TRUE	SE	107.431077053997	49871780
leeHOM	medium	light	FALSE	PE	149.676713662013	8328626
leeHOM	medium	light	FALSE	SE	93.2153978412135	41671374
leeHOM	medium	light	TRUE	PE	147.978981475726	128696
leeHOM	medium	light	TRUE	SE	107.429613550911	49871304
leeHOM	medium	none	FALSE	PE	149.680424373492	8333414
leeHOM	medium	none	FALSE	SE	93.2126190996306	41666586
leeHOM	medium	none	TRUE	PE	148.028898348108	128035
leeHOM	medium	none	TRUE	SE	107.438125407732	49871965
leeHOM	short	heavy	FALSE	PE	87.2031224322104	30425
leeHOM	short	heavy	FALSE	SE	46.2530402950195	49969575
leeHOM	short	heavy	TRUE	PE	142.767645906776	12765
leeHOM	short	heavy	TRUE	SE	46.8652410560416	49987235
leeHOM	short	light	FALSE	PE	87.5138190133943	30610
leeHOM	short	light	FALSE	SE	46.2549803040417	49969389
leeHOM	short	light	TRUE	PE	142.608163265306	12985
leeHOM	short	light	TRUE	SE	46.0609552713031	49987014
leeHOM	short	none	FALSE	PE	87.638199217337	30409
leeHOM	short	none	FALSE	SE	46.2549797535865	49969591
leeHOM	short	none	TRUE	PE	142.698978011768	12916
leeHOM	short	none	TRUE	SE	46.8670595188149	49987084
fastp	long	heavy	FALSE	PE	141.98469944	5e+07
fastp	long	heavy	TRUE	PE	149.84307734796	20646401
fastp	long	heavy	TRUE	SE	178.020525115166	29353599
fastp	long	light	FALSE	PE	141.9851686	5e+07
fastp	long	light	TRUE	PE	149.84345569736	20646264
fastp	long	light	TRUE	SE	178.011177248443	29353736
fastp	long	none	FALSE	PE	141.98113546	5e+07
fastp	long	none	TRUE	PE	149.843438810697	20642881
fastp	long	none	TRUE	SE	178.002228794999	29357119
fastp	medium	heavy	FALSE	PE	102.60967084	5e+07
fastp	medium	heavy	TRUE	PE	146.795988173996	226281
fastp	medium	heavy	TRUE	SE	107.556919706964	49773719
fastp	medium	light	FALSE	PE	102.61218004	5e+07
fastp	medium	light	TRUE	PE	146.816996521954	226564
fastp	medium	light	TRUE	SE	107.554936171174	49773436
fastp	medium	none	FALSE	PE	102.61615654	5e+07
fastp	medium	none	TRUE	PE	146.81168053524	226291
fastp	medium	none	TRUE	SE	107.563470365449	49773709
fastp	short	heavy	FALSE	PE	46.87782676	5e+07
fastp	short	heavy	TRUE	PE	41.4278773155178	26344
fastp	short	heavy	TRUE	SE	46.8455490028586	49973656
fastp	short	light	FALSE	PE	46.8797474	5e+07
